post_id,post_type,post_thumbnail

531019414,product,http://s.tbdress.com/images/product/10/10876/10876822_1.jpg

531019415,product,http://s.tbdress.com/images/product/10/10876/10876821_1.jpg

531019416,product,http://s.tbdress.com/images/product/10/10876/10876820_1.jpg

531019417,product,http://s.tbdress.com/images/product/10/10876/10876819_1.jpg

531019418,product,http://s.tbdress.com/images/product/9/9642/9642438_2.jpg

531019419,product,http://s.tbdress.com/images/product/1/1812/1812558_1.jpg

531019420,product,http://s.tbdress.com/images/product/10/10876/10876826_1.jpg

531019421,product,http://s.tbdress.com/images/product/10/10876/10876825_3.jpg

531019422,product,http://s.tbdress.com/images/product/10/10423/10423472_1.jpg

531019423,product,http://s.tbdress.com/images/product/10/10510/

531019424,product,http://s.tbdress.com/images/product/3/3830/3830168_1.jpg

531019425,product,http://s.tbdress.com/images/product/10/10402/

531019426,product,http://s.tbdress.com/images/product/1/1812/1812790_1.jpg

531019427,product,http://s.tbdress.com/images/product/10/10459/10459121_1.jpg

531019428,product,http://s.tbdress.com/images/product/10/10878/10878615_6.jpg

531019429,product,http://s.tbdress.com/images/product/10/10878/10878594_3.jpg

531019430,product,http://s.tbdress.com/images/product/10/10876/10876828_1.jpg

531019431,product,http://s.tbdress.com/images/product/10/10876/10876827_1.jpg

531019432,product,http://s.tbdress.com/images/product/10/10677/10677636_8.jpg

531019433,product,http://s.tbdress.com/images/product/10/10876/10876818_1.jpg

531019434,product,http://s.tbdress.com/images/product/10/10876/10876817_1.jpg

531019435,product,http://s.tbdress.com/images/product/10/10168/10168999_1.jpg

531019436,product,http://s.tbdress.com/images/product/10/10455/10455251_1.jpg

531019437,product,http://s.tbdress.com/images/product/10/10462/10462618_2.jpg

531019438,product,http://s.tbdress.com/images/product/2/2061/2061609_7.jpg

531019439,product,http://s.tbdress.com/images/product/8/8883/8883574_1.jpg

531019440,product,http://s.tbdress.com/images/product/3/3819/3819153_7.jpg

531019441,product,http://s.tbdress.com/images/product/8/8888/8888291_3.jpg

531019442,product,http://s.tbdress.com/images/product/9/9675/9675012_1.jpg

531019443,product,http://s.tbdress.com/images/product/10/10411/10411765_1.jpg

531019444,product,http://s.tbdress.com/images/product/1/1954/1954259_16.jpg

531019445,product,http://s.tbdress.com/images/product/9/9647/9647212_1.jpg

531019446,product,http://s.tbdress.com/images/product/9/9653/9653019_1.jpg

531019447,product,http://s.tbdress.com/images/product/9/9647/9647220_1.jpg

531019448,product,http://s.tbdress.com/images/product/10/10475/10475499_1.jpg

531019449,product,http://s.tbdress.com/images/product/8/8883/8883552_1.jpg

531019450,product,http://s.tbdress.com/images/product/1/1801/1801406_2.jpg

531019451,product,http://s.tbdress.com/images/product/9/9298/9298519_7.jpg

531019452,product,http://s.tbdress.com/images/product/8/8886/8886526_1.jpg

531019453,product,http://s.tbdress.com/images/product/8/8883/8883105_1.jpg

531019454,product,http://s.tbdress.com/images/product/3/3812/3812708_8.jpg

531019455,product,http://s.tbdress.com/images/product/8/8883/8883371_11.jpg

531019456,product,http://s.tbdress.com/images/product/10/10467/10467112_1.jpg

531019457,product,http://s.tbdress.com/images/product/10/10161/10161606_1.jpg

531019458,product,http://s.tbdress.com/images/product/9/9647/9647231_1.jpg

531019459,product,http://s.tbdress.com/images/product/8/8888/8888316_1.jpg

531019460,product,http://s.tbdress.com/images/product/9/9674/9674944_1.jpg

531019461,product,http://s.tbdress.com/images/product/9/9647/9647230_2.jpg

531019462,product,http://s.tbdress.com/images/product/9/9675/9675006_1.jpg

531019463,product,http://s.tbdress.com/images/product/8/8887/8887575_2.jpg

531019464,product,http://s.tbdress.com/images/product/10/10464/10464070_1.jpg

531019465,product,http://s.tbdress.com/images/product/10/10570/10570753_1.jpg

531019466,product,http://s.tbdress.com/images/product/10/10466/10466835_1.jpg

531019467,product,http://s.tbdress.com/images/product/9/9654/9654521_5.jpg

531019468,product,http://s.tbdress.com/images/product/9/9674/9674962_1.jpg

531019469,product,http://s.tbdress.com/images/product/8/8883/8883194_1.jpg

531019470,product,http://s.tbdress.com/images/product/8/8887/8887840_3.jpg

531019471,product,http://s.tbdress.com/images/product/3/3812/3812564_11.jpg

531019472,product,http://s.tbdress.com/images/product/1/1821/1821551_1.jpg

531019473,product,http://s.tbdress.com/images/product/10/10498/10498056_1.jpg

531019474,product,http://s.tbdress.com/images/product/1/1812/1812864_1.jpg

531019475,product,http://s.tbdress.com/images/product/10/10183/10183605_1.jpg

531019476,product,http://s.tbdress.com/images/product/1/1812/

531019477,product,http://s.tbdress.com/images/product/9/9642/9642356_1.jpg

531019478,product,http://s.tbdress.com/images/product/10/10514/10514246_2.jpg

531019479,product,http://s.tbdress.com/images/product/10/10756/10756216_1.jpg

531019480,product,http://s.tbdress.com/images/product/10/10677/10677635_1.jpg

531019481,product,http://s.tbdress.com/images/product/10/10677/10677634_1.jpg

531019482,product,http://s.tbdress.com/images/product/10/10677/10677629_4.jpg

531019483,product,http://s.tbdress.com/images/product/10/10458/10458339_1.jpg

531019484,product,http://s.tbdress.com/images/product/10/10458/10458832_1.jpg

531019485,product,http://s.tbdress.com/images/product/8/8883/8883569_1.jpg

531019486,product,http://s.tbdress.com/images/product/3/3819/3819206_7.jpg

531019487,product,http://s.tbdress.com/images/product/9/9647/9647232_1.jpg

531019488,product,http://s.tbdress.com/images/product/10/10191/10191462_1.jpg

531019489,product,http://s.tbdress.com/images/product/10/10169/10169000_1.jpg

531019490,product,http://s.tbdress.com/images/product/8/8883/8883571_1.jpg

531019491,product,http://s.tbdress.com/images/product/1/1949/1949873_5.jpg

531019492,product,http://s.tbdress.com/images/product/10/10191/10191429_1.jpg

531019493,product,http://s.tbdress.com/images/product/9/9298/9298542_5.jpg

531019494,product,http://s.tbdress.com/images/product/9/9654/9654425_5.jpg

531019495,product,http://s.tbdress.com/images/product/10/10169/10169015_1.jpg

531019496,product,http://s.tbdress.com/images/product/1/1743/1743122_1.jpg

531019497,product,http://s.tbdress.com/images/product/10/10168/10168774_1.jpg

